Fecha,Facebook,Instagram,Twitter
09/12/2012,10,100,1
10/12/2012,20,200,2
11/12/2012,30,300,3
12/12/2012,40,400,4
13/12/2012,50,500,5
14/12/2012,60,600,6
15/12/2012,70,700,7
16/12/2012,80,800,8
17/12/2012,90,900,9
18/12/2012,100,1000,10
19/12/2012,110,1100,11
20/12/2012,120,1200,12
21/12/2012,130,1300,13
22/12/2012,140,1400,14
23/12/2012,150,1500,15
24/12/2012,160,1600,16
25/12/2012,170,1700,17
26/12/2012,180,1800,18
27/12/2012,190,1900,19
28/12/2012,200,2000,20
29/12/2012,210,2100,21
30/12/2012,220,2200,22
31/12/2012,230,2300,23
01/01/2013,240,2400,24
02/01/2013,250,2500,25
03/01/2013,260,2600,26
04/01/2013,270,2700,27
05/01/2013,280,2800,28
06/01/2013,290,2900,29
07/01/2013,300,3000,30
08/01/2013,310,3100,31
09/01/2013,320,3200,32
10/01/2013,330,3300,33
11/01/2013,340,3400,34
12/01/2013,350,3500,35
13/01/2013,360,3600,36
14/01/2013,370,3700,37
15/01/2013,380,3800,38
16/01/2013,390,3900,39
17/01/2013,400,4000,40
18/01/2013,410,4100,41
19/01/2013,420,4200,42
20/01/2013,430,4300,43
21/01/2013,440,4400,44
22/01/2013,450,4500,45
23/01/2013,460,4600,46
24/01/2013,470,4700,47
25/01/2013,480,4800,48
26/01/2013,490,4900,49
27/01/2013,500,5000,50
28/01/2013,510,5100,51
29/01/2013,520,5200,52
30/01/2013,530,5300,53
31/01/2013,540,5400,54
01/02/2013,550,5500,55
02/02/2013,560,5600,56
03/02/2013,570,5700,57
04/02/2013,580,5800,58
05/02/2013,590,5900,59
06/02/2013,600,6000,60
07/02/2013,610,6100,61
08/02/2013,620,6200,62
09/02/2013,630,6300,63
10/02/2013,640,6400,64
11/02/2013,650,6500,65
12/02/2013,660,6600,66
13/02/2013,670,6700,67
14/02/2013,680,6800,68
15/02/2013,690,6900,69
16/02/2013,700,7000,70
17/02/2013,710,7100,71
18/02/2013,720,7200,72
19/02/2013,730,7300,73
20/02/2013,740,7400,74
21/02/2013,750,7500,75
22/02/2013,760,7600,76
23/02/2013,770,7700,77
24/02/2013,780,7800,78
25/02/2013,790,7900,79
26/02/2013,800,8000,80
27/02/2013,810,8100,81
28/02/2013,820,8200,82
01/03/2013,830,8300,83
02/03/2013,840,8400,84
03/03/2013,850,8500,85
04/03/2013,860,8600,86
05/03/2013,870,8700,87
06/03/2013,880,8800,88
07/03/2013,890,8900,89
08/03/2013,900,9000,90
09/03/2013,910,9100,91
10/03/2013,920,9200,92
11/03/2013,930,9300,93
12/03/2013,940,9400,94
13/03/2013,950,9500,95
14/03/2013,960,9600,96
15/03/2013,970,9700,97
16/03/2013,980,9800,98
17/03/2013,990,9900,99
18/03/2013,1000,10000,100
19/03/2013,1010,10100,101
20/03/2013,1020,10200,102
21/03/2013,1030,10300,103
22/03/2013,1040,10400,104
23/03/2013,1050,10500,105
24/03/2013,1060,10600,106
25/03/2013,1070,10700,107
26/03/2013,1080,10800,108
27/03/2013,1090,10900,109
